Optimizer,objfname,ExecutionTime,Iter1,Iter2,Iter3,Iter4,Iter5,Iter6,Iter7,Iter8,Iter9,Iter10,Iter11,Iter12,Iter13,Iter14,Iter15,Iter16,Iter17,Iter18,Iter19,Iter20,Iter21,Iter22,Iter23,Iter24,Iter25,Iter26,Iter27,Iter28,Iter29,Iter30,Iter31,Iter32,Iter33,Iter34,Iter35,Iter36,Iter37,Iter38,Iter39,Iter40,Iter41,Iter42,Iter43,Iter44,Iter45,Iter46,Iter47,Iter48,Iter49,Iter50
GA,F5,0.11818909645080566,573248798.2129248,572418264.7996191,572418264.7996191,499391131.1434763,359935949.34278035,359935949.34278035,359935949.34278035,347824277.06171477,324285624.3025099,324285624.3025099,324285624.3025099,311709966.0075243,308643531.43202746,308643531.43202746,283296951.21317995,283296951.21317995,283296951.21317995,283296951.21317995,283296951.21317995,283296951.21317995,283296951.21317995,283296951.21317995,283296951.21317995,280374699.7997122,280374699.7997122,274096100.5563079,274096100.5563079,274096100.5563079,254696129.96129856,254696129.96129856,254696129.96129856,242025177.3719427,242025177.3719427,233552853.8094879,233552853.8094879,233552853.8094879,230548188.8314961,228265444.23849416,228265444.23849416,202871156.02399185,202871156.02399185,202871156.02399185,202871156.02399185,202871156.02399185,199987783.5555723,199987783.5555723,199987783.5555723,192190989.55019787,189255545.90178245,189255545.90178245
GA,F5,0.13762283325195312,473456788.6371236,473456788.6371236,473456788.6371236,433363997.77272546,425181700.3458399,375991632.46057767,375991632.46057767,355063067.3340278,355063067.3340278,275927841.4189327,275927841.4189327,272245422.1758973,252659259.01873398,230033892.4719319,207128577.6014174,207128577.6014174,196847811.53916562,196847811.53916562,196847811.53916562,196847811.53916562,196847811.53916562,188037003.22923118,172737020.81627688,172737020.81627688,172131944.46468022,154270908.87696996,154270908.87696996,154270908.87696996,154270908.87696996,154270908.87696996,154270908.87696996,154270908.87696996,154270908.87696996,149641888.34429663,149641888.34429663,149641888.34429663,139542905.81426728,116732841.18292476,116732841.18292476,116732841.18292476,116732841.18292476,116732841.18292476,116732841.18292476,116732841.18292476,113234757.96052536,110981367.73598254,101981275.0027751,101981275.0027751,101981275.0027751,101981275.0027751
GA,F5,0.13962650299072266,486625887.12670463,486625887.12670463,438888404.6812276,438888404.6812276,386073589.72087663,386073589.72087663,339525533.8297541,339525533.8297541,339525533.8297541,339525533.8297541,286158817.6259272,286158817.6259272,286158817.6259272,286158817.6259272,281393826.71860445,251209829.59962335,251209829.59962335,251209829.59962335,251209829.59962335,251209829.59962335,251209829.59962335,251105612.8789154,234808289.03873625,234808289.03873625,234808289.03873625,231679429.22594577,211218705.7520038,211218705.7520038,211218705.7520038,211218705.7520038,200385231.90673026,169425741.3502297,169425741.3502297,169425741.3502297,169425741.3502297,167960625.6745661,167960625.6745661,167960625.6745661,167960625.6745661,156576699.81919423,154849852.49977955,154849852.49977955,154849852.49977955,151252221.58865982,142870055.86483777,142870055.86483777,135584795.29445562,135584795.29445562,132357260.04461513,90890290.05689266
GA,F5,0.149827241897583,476350553.9742944,382266857.85398155,382266857.85398155,382266857.85398155,376098154.75619614,376098154.75619614,310222122.6142337,310222122.6142337,309504577.7828358,290146914.7408789,283766146.4886328,244077635.58488113,244077635.58488113,232332338.12618083,232332338.12618083,227112166.74957162,209398684.97872746,209398684.97872746,205980267.52645832,151594146.44168448,151594146.44168448,151594146.44168448,151594146.44168448,151594146.44168448,151594146.44168448,151594146.44168448,151594146.44168448,151494905.72140354,151494905.72140354,151494905.72140354,151494905.72140354,151494905.72140354,151494905.72140354,151494905.72140354,151494905.72140354,150801071.90246272,150701831.18218178,131475091.92389748,129078637.28911398,129078637.28911398,129078637.28911398,129078637.28911398,114046253.20443891,114046253.20443891,114046253.20443891,114046253.20443891,110856724.03043367,110856724.03043367,110856724.03043367,110856724.03043367
GA,F5,0.12986063957214355,493201870.7606391,462254745.52936494,462254745.52936494,443460553.2604351,424636743.26463264,310600353.1292696,310600353.1292696,258811244.55847943,227861135.10453212,227861135.10453212,227861135.10453212,227106070.87280852,196092215.68772393,196092215.68772393,196092215.68772393,192552118.12574834,175794948.77633005,175794948.77633005,175794948.77633005,175794948.77633005,175794948.77633005,172829033.72465876,154220578.61389768,154220578.61389768,154220578.61389768,150120914.88955182,150120914.88955182,150120914.88955182,150120914.88955182,150078168.0150531,150078168.0150531,150078168.0150531,148269635.0515502,142835180.81725332,142835180.81725332,142835180.81725332,142835180.81725332,142835180.81725332,142835180.81725332,142835180.81725332,142835180.81725332,118391970.52421461,118391970.52421461,117950964.45976807,117950964.45976807,111666002.16049738,111666002.16049738,111666002.16049738,111666002.16049738,111666002.16049738
GA,F5,0.12466597557067871,581336415.9616474,475313950.4046011,475313950.4046011,475313950.4046011,435284137.8093976,400289059.75757086,362124685.8938092,362124685.8938092,362124685.8938092,361884500.8328821,333411702.9937212,333411702.9937212,274287149.5205189,270856967.58054596,257591743.40408278,257591743.40408278,221411788.43384743,221411788.43384743,199316576.26209924,191579797.76715448,190057904.68330976,173228182.61157125,173228182.61157125,173228182.61157125,173228182.61157125,144310369.37557024,118799254.02334517,104040166.4506488,104040166.4506488,103836855.71921887,96367229.54536279,96367229.54536279,91936517.19094224,91936517.19094224,91936517.19094224,91936517.19094224,91936517.19094224,90726060.52754231,90726060.52754231,87185774.24280728,86607185.50127381,86607185.50127381,85650007.7781036,85650007.7781036,85650007.7781036,85650007.7781036,85650007.7781036,83607588.19134872,83607588.19134872,83607588.19134872
GA,F5,0.12067699432373047,572513495.5401464,490160180.0028712,490160180.0028712,490160180.0028712,457679843.4075622,427119051.5469611,427119051.5469611,427119051.5469611,410020458.5281617,410020458.5281617,370038419.9267306,355231542.98740023,332008617.3786951,332008617.3786951,296648236.8033766,285283491.4139821,283782154.752955,283782154.752955,283782154.752955,264856215.70320708,226701680.85378477,217203666.05826715,217203666.05826715,217203666.05826715,217203666.05826715,217203666.05826715,189262527.32360598,189262527.32360598,183246016.5002849,175895850.474408,160487542.5481972,148957884.21344075,148957884.21344075,138139541.90721893,138139541.90721893,138139541.90721893,138139541.90721893,138139541.90721893,138139541.90721893,131080910.89677398,131080910.89677398,131080910.89677398,131080910.89677398,130524567.32316868,129939541.16233511,129939541.16233511,129939541.16233511,120210816.84063676,120210816.84063676,120210816.84063676
GA,F5,0.18900012969970703,542495618.5657352,477433241.0925319,440816223.14356846,383728480.55523497,367664331.2077436,323766543.0510577,257414079.9929731,257414079.9929731,251003055.1856937,251003055.1856937,251003055.1856937,196456033.18327504,196456033.18327504,167004812.5697742,167004812.5697742,167004812.5697742,167004812.5697742,167004812.5697742,167004812.5697742,167004812.5697742,146530487.8719669,146530487.8719669,144414344.61376897,144414344.61376897,144414344.61376897,144414344.61376897,125566304.32516307,125566304.32516307,124860024.91109517,124860024.91109517,96956798.49543798,96956798.49543798,96956798.49543798,94840655.23724006,94840655.23724006,66291976.42690611,65966634.89332014,63735095.363491036,61741776.7865539,61741776.7865539,61293610.57170715,61293610.57170715,61293610.57170715,61293610.57170715,61293610.57170715,59849989.506154716,59849989.506154716,59668598.871321544,59220432.65647479,59220432.65647479
GA,F5,0.12566351890563965,470061305.88494617,470061305.88494617,470061305.88494617,470061305.88494617,470061305.88494617,470061305.88494617,406291575.2948433,343447076.5146525,343447076.5146525,308085410.07770926,307860629.9446764,302059851.02853996,302059851.02853996,282456961.38909936,282456961.38909936,279925293.9270206,279925293.9270206,279925293.9270206,277798307.962905,277798307.962905,250671698.7822528,250671698.7822528,250446918.64921993,212770675.92584124,212770675.92584124,212770675.92584124,187963686.44665185,187963686.44665185,187963686.44665185,187963686.44665185,187963686.44665185,187963686.44665185,178593979.18397012,176004520.13806412,176004520.13806412,172701513.82796076,169564203.45301294,129640944.84160332,129640944.84160332,125913086.04906711,125913086.04906711,125913086.04906711,125913086.04906711,125913086.04906711,125913086.04906711,125913086.04906711,110340248.81479238,110340248.81479238,110340248.81479238,109898997.10403539
GA,F5,0.12466669082641602,427402428.7850492,427402428.7850492,427402428.7850492,427402428.7850492,400806473.2302803,366072437.71617955,309125694.35761774,309125694.35761774,309125694.35761774,298965021.0472874,277173563.78166205,277173563.78166205,271355927.81887025,265388261.3084202,265388261.3084202,252395003.09485075,252395003.09485075,252395003.09485075,203504663.9157448,203504663.9157448,203504663.9157448,166128538.7169745,166128538.7169745,166128538.7169745,166128538.7169745,166128538.7169745,166128538.7169745,166128538.7169745,166128538.7169745,166128538.7169745,157267261.2491555,149855674.15684488,149754451.77263165,149754451.77263165,149754451.77263165,149754451.77263165,149754451.77263165,149754451.77263165,149713170.48857823,149713170.48857823,147957499.38764367,147957499.38764367,147957499.38764367,147957499.38764367,140873370.98710898,140873370.98710898,140873370.98710898,140873370.98710898,140122630.54733676,140122630.54733676
