Optimizer,objfname,ExecutionTime,Iter1,Iter2,Iter3,Iter4,Iter5,Iter6,Iter7,Iter8,Iter9,Iter10,Iter11,Iter12,Iter13,Iter14,Iter15,Iter16,Iter17,Iter18,Iter19,Iter20,Iter21,Iter22,Iter23,Iter24,Iter25,Iter26,Iter27,Iter28,Iter29,Iter30,Iter31,Iter32,Iter33,Iter34,Iter35,Iter36,Iter37,Iter38,Iter39,Iter40,Iter41,Iter42,Iter43,Iter44,Iter45,Iter46,Iter47,Iter48,Iter49,Iter50
GA,Eggholder,0.20296454429626465,-1506.492204511158,-1892.217121544418,-1906.3443287790367,-2125.7765493063107,-2235.806842725928,-2526.5136599404236,-2842.332808332986,-2981.5711814273845,-2981.5711814273845,-2981.5711814273845,-2981.5711814273845,-2981.5711814273845,-2981.5711814273845,-2981.5711814273845,-2981.5711814273845,-2981.5711814273845,-2981.5711814273845,-2981.5711814273845,-2981.5711814273845,-2989.191481098087,-2989.191481098087,-2989.191481098087,-2989.191481098087,-2989.191481098087,-2989.191481098087,-2989.191481098087,-2989.191481098087,-2989.191481098087,-2989.191481098087,-2989.191481098087,-2989.191481098087,-2989.191481098087,-2989.191481098087,-2989.191481098087,-2989.191481098087,-3092.245066003959,-3092.245066003959,-3092.245066003959,-3092.245066003959,-3092.245066003959,-3092.245066003959,-3092.245066003959,-3112.542118531167,-3112.542118531167,-3112.542118531167,-3112.542118531167,-3162.846509381312,-3162.846509381312,-3162.846509381312,-3162.846509381312
GA,Eggholder,0.19199609756469727,-1313.687181198251,-2601.8292647867006,-2601.8292647867006,-2850.6240051187087,-2850.6240051187087,-2850.6240051187087,-2850.6240051187087,-2850.6240051187087,-2850.6240051187087,-2850.6240051187087,-2850.6240051187087,-2850.6240051187087,-2850.6240051187087,-2850.6240051187087,-2850.6240051187087,-2850.6240051187087,-2850.6240051187087,-2850.6240051187087,-2850.6240051187087,-2850.6240051187087,-2850.6240051187087,-2850.6240051187087,-2850.6240051187087,-2850.6240051187087,-2850.6240051187087,-2850.6240051187087,-2850.6240051187087,-3326.9125723412276,-3326.9125723412276,-3326.9125723412276,-3568.8669310712344,-3592.737933994219,-3592.737933994219,-3592.737933994219,-3592.737933994219,-3592.737933994219,-3592.737933994219,-3592.737933994219,-3592.737933994219,-3592.737933994219,-3592.737933994219,-3592.737933994219,-3592.737933994219,-3592.737933994219,-3592.737933994219,-3592.737933994219,-3592.737933994219,-3592.737933994219,-3592.737933994219,-3592.737933994219
GA,Eggholder,0.21593022346496582,-1254.6493043383946,-1802.2638144999082,-1802.2638144999082,-1802.2638144999082,-1997.3804893446995,-2101.3549955288668,-2101.3549955288668,-2101.3549955288668,-2101.3549955288668,-2101.3549955288668,-2101.3549955288668,-2101.3549955288668,-2265.757885742335,-2265.757885742335,-2299.347745689931,-2299.347745689931,-2299.347745689931,-2299.347745689931,-2458.52786550786,-2458.52786550786,-2458.52786550786,-2458.52786550786,-2475.242303616901,-2475.242303616901,-2475.242303616901,-2475.242303616901,-2475.242303616901,-2475.242303616901,-2475.242303616901,-3006.5127841747017,-3006.5127841747017,-3006.5127841747017,-3006.5127841747017,-3213.175962889636,-3450.4836242753327,-3450.4836242753327,-3450.4836242753327,-3450.4836242753327,-3450.4836242753327,-3450.4836242753327,-3450.4836242753327,-3450.4836242753327,-3450.4836242753327,-3450.4836242753327,-3450.4836242753327,-3450.4836242753327,-3450.4836242753327,-3450.4836242753327,-3450.4836242753327,-3450.4836242753327
GA,Eggholder,0.19148802757263184,-2512.319789055896,-2512.319789055896,-2939.942991027573,-2939.942991027573,-2939.942991027573,-2939.942991027573,-2958.996552171473,-2958.996552171473,-2958.996552171473,-2958.996552171473,-2958.996552171473,-2958.996552171473,-2958.996552171473,-2958.996552171473,-2958.996552171473,-2958.996552171473,-3085.367370051567,-3085.367370051567,-3085.367370051567,-3085.367370051567,-3085.367370051567,-3085.367370051567,-3085.367370051567,-3085.367370051567,-3085.367370051567,-3085.367370051567,-3085.367370051567,-3085.367370051567,-3085.367370051567,-3095.3662727191463,-3095.3662727191463,-3095.3662727191463,-3095.3662727191463,-3095.3662727191463,-3095.3662727191463,-3095.3662727191463,-3095.3662727191463,-3095.3662727191463,-3095.3662727191463,-3095.3662727191463,-3095.3662727191463,-3095.3662727191463,-3095.3662727191463,-3095.3662727191463,-3095.3662727191463,-3095.3662727191463,-3095.3662727191463,-3095.3662727191463,-3095.3662727191463,-3095.3662727191463
GA,Eggholder,0.21143460273742676,-2333.2522212599597,-3092.3220066414538,-3092.3220066414538,-3092.3220066414538,-3092.3220066414538,-3365.115349725447,-3365.115349725447,-3365.115349725447,-3365.115349725447,-3427.5325433986536,-3427.5325433986536,-3427.5325433986536,-3427.5325433986536,-3427.5325433986536,-3427.5325433986536,-3582.107142826346,-3582.107142826346,-3582.107142826346,-3582.107142826346,-3582.107142826346,-3582.107142826346,-3582.107142826346,-3582.107142826346,-3582.107142826346,-3582.107142826346,-3582.107142826346,-3582.107142826346,-3715.832886627044,-3715.832886627044,-3827.9890396308992,-3943.293012679226,-3943.293012679226,-3943.293012679226,-3943.293012679226,-3943.293012679226,-3943.293012679226,-3943.293012679226,-3943.293012679226,-3943.293012679226,-3943.293012679226,-3943.293012679226,-3943.293012679226,-3943.293012679226,-3943.293012679226,-3943.293012679226,-3943.293012679226,-3943.293012679226,-3943.293012679226,-3943.293012679226,-3943.293012679226
GA,Eggholder,0.20943927764892578,-1753.9514879994538,-2169.2254148211705,-2169.2254148211705,-2169.2254148211705,-2236.1742602478184,-2236.1742602478184,-2236.1742602478184,-2236.1742602478184,-2236.1742602478184,-2278.9953448636975,-2278.9953448636975,-2641.9707247164342,-2641.9707247164342,-2641.9707247164342,-2641.9707247164342,-2641.9707247164342,-2744.8409870233054,-2744.8409870233054,-2744.8409870233054,-2744.8409870233054,-2744.8409870233054,-2744.8409870233054,-2744.8409870233054,-2744.8409870233054,-2744.8409870233054,-2744.8409870233054,-2744.8409870233054,-2744.8409870233054,-2744.8409870233054,-2744.8409870233054,-2744.8409870233054,-2744.8409870233054,-2744.8409870233054,-2744.8409870233054,-2744.8409870233054,-2744.8409870233054,-2744.8409870233054,-2744.8409870233054,-2865.732956320096,-2865.732956320096,-2865.732956320096,-2865.732956320096,-2865.732956320096,-2865.732956320096,-2865.732956320096,-2865.732956320096,-2865.732956320096,-2865.732956320096,-2865.732956320096,-2865.732956320096
GA,Eggholder,0.20695281028747559,-1737.782760126031,-1737.782760126031,-1737.782760126031,-1737.782760126031,-1824.9822952182396,-1824.9822952182396,-1824.9822952182396,-2590.2307661355007,-3017.5174601366084,-3017.5174601366084,-3017.5174601366084,-3017.5174601366084,-3017.5174601366084,-3017.5174601366084,-3017.5174601366084,-3101.666808667791,-3101.666808667791,-3101.666808667791,-3101.666808667791,-3101.666808667791,-3101.666808667791,-3101.666808667791,-3101.666808667791,-3101.666808667791,-3101.666808667791,-3101.666808667791,-3101.666808667791,-3101.666808667791,-3101.666808667791,-3101.666808667791,-3101.666808667791,-3101.666808667791,-3101.666808667791,-3101.666808667791,-3101.666808667791,-3101.666808667791,-3101.666808667791,-3101.666808667791,-3101.666808667791,-3101.666808667791,-3101.666808667791,-3101.666808667791,-3101.666808667791,-3101.666808667791,-3252.873221675591,-3252.873221675591,-3252.873221675591,-3663.8897702241,-3759.0103994201177,-3759.0103994201177
GA,Eggholder,0.19248461723327637,-1190.36672175403,-1968.361505609933,-2467.6439034598275,-2467.6439034598275,-2467.6439034598275,-2467.6439034598275,-2467.6439034598275,-2467.6439034598275,-2467.6439034598275,-2467.6439034598275,-2850.021253362214,-2850.021253362214,-2850.021253362214,-2850.021253362214,-2850.021253362214,-2850.021253362214,-2850.021253362214,-2850.021253362214,-2850.021253362214,-2850.021253362214,-2850.021253362214,-2850.021253362214,-2850.021253362214,-2850.021253362214,-2850.021253362214,-2850.021253362214,-2850.021253362214,-2850.021253362214,-2850.021253362214,-2850.021253362214,-2850.021253362214,-2850.021253362214,-2850.021253362214,-2850.021253362214,-2850.021253362214,-2850.021253362214,-2850.021253362214,-2850.021253362214,-2850.021253362214,-2850.021253362214,-2850.021253362214,-2850.021253362214,-2850.021253362214,-3153.183296567217,-3153.183296567217,-3153.183296567217,-3153.183296567217,-3153.183296567217,-3153.183296567217,-3153.183296567217
GA,Eggholder,0.20545029640197754,-877.1606237219403,-1291.9954889754986,-1641.494017610077,-2250.047447237296,-2250.047447237296,-2250.047447237296,-2250.047447237296,-2307.817992708783,-2481.6126899277792,-2481.6126899277792,-2481.6126899277792,-2481.6126899277792,-2481.6126899277792,-2481.6126899277792,-2481.6126899277792,-2481.6126899277792,-2481.6126899277792,-2481.6126899277792,-2481.6126899277792,-2481.6126899277792,-2481.6126899277792,-2481.6126899277792,-2481.6126899277792,-2495.248655202309,-2495.248655202309,-2495.248655202309,-2495.248655202309,-2495.248655202309,-2618.830014715217,-2618.830014715217,-2618.830014715217,-2618.830014715217,-2618.830014715217,-2618.830014715217,-2618.830014715217,-2618.830014715217,-2618.830014715217,-2725.333897137925,-2725.333897137925,-2725.333897137925,-2725.333897137925,-2725.333897137925,-2725.333897137925,-2725.333897137925,-2725.333897137925,-2725.333897137925,-2725.333897137925,-2725.333897137925,-2725.333897137925,-2725.333897137925
GA,Eggholder,0.19598102569580078,-1390.8511457543023,-1567.4749020454196,-1567.4749020454196,-2277.898717528785,-3226.9064289033595,-3451.502251045582,-3508.4149011403606,-3508.4149011403606,-3508.4149011403606,-3508.4149011403606,-3789.6175418155726,-3789.6175418155726,-3789.6175418155726,-3789.6175418155726,-3914.92724516062,-3914.92724516062,-3914.92724516062,-3914.92724516062,-3914.92724516062,-3914.92724516062,-3914.92724516062,-3914.92724516062,-3914.92724516062,-3914.92724516062,-3914.92724516062,-3914.92724516062,-3914.92724516062,-3914.92724516062,-3914.92724516062,-3914.92724516062,-3915.164457882061,-3915.164457882061,-3915.164457882061,-3915.164457882061,-3915.164457882061,-3915.164457882061,-3915.164457882061,-3915.164457882061,-3915.164457882061,-3915.164457882061,-3915.164457882061,-3915.164457882061,-3915.164457882061,-3915.164457882061,-3915.164457882061,-3915.164457882061,-3915.164457882061,-3915.164457882061,-3915.164457882061,-3915.164457882061
